Coordinate 1,Coordinate 2,Ellipsoid Dimensions,Tags,Description,Segment IDs,Parent ID,Type,ID
"(106239, 42102, 1121)",,,,29 na,,,Line Strip,ee3ab3844b74cff75cbd22c73a677dc78a8026ca
"(106239, 42102, 1121)","(106849, 42064, 1078)",,,,,ee3ab3844b74cff75cbd22c73a677dc78a8026ca,Line,
"(106849, 42064, 1078)","(107519, 42150, 1054)",,,,,ee3ab3844b74cff75cbd22c73a677dc78a8026ca,Line,
"(107519, 42150, 1054)","(107964, 42163, 1050)",,,,,ee3ab3844b74cff75cbd22c73a677dc78a8026ca,Line,
"(107964, 42163, 1050)","(108515, 42208, 1003)",,,,,ee3ab3844b74cff75cbd22c73a677dc78a8026ca,Line,
"(108515, 42208, 1003)","(109250, 42035, 973)",,,,,ee3ab3844b74cff75cbd22c73a677dc78a8026ca,Line,
"(112566, 39860, 393)",,,,30 na,,,Line Strip,cdaacdc9f4e5e3844f85416dbc33dcb54fc23ca9
"(112566, 39860, 393)","(111682, 40488, 525)",,,,,cdaacdc9f4e5e3844f85416dbc33dcb54fc23ca9,Line,
"(111682, 40488, 525)","(111282, 40995, 539)",,,,,cdaacdc9f4e5e3844f85416dbc33dcb54fc23ca9,Line,
"(111282, 40995, 539)","(110783, 41288, 583)",,,,,cdaacdc9f4e5e3844f85416dbc33dcb54fc23ca9,Line,
"(110783, 41288, 583)","(110597, 41597, 598)",,,,,cdaacdc9f4e5e3844f85416dbc33dcb54fc23ca9,Line,
"(110597, 41597, 598)","(110013, 41628, 605)",,,,,cdaacdc9f4e5e3844f85416dbc33dcb54fc23ca9,Line,
"(92740, 41430, 1096)",,,,31 devPNB_29 at branch,,,Line Strip,ef605daf12a35786f71ef8363718c75c99a892cb
"(92740, 41430, 1096)","(92608, 40735, 1076)",,,,,ef605daf12a35786f71ef8363718c75c99a892cb,Line,
"(92608, 40735, 1076)","(92503, 40159, 1072)",,,,,ef605daf12a35786f71ef8363718c75c99a892cb,Line,
"(92503, 40159, 1072)","(92095, 39046, 1022)",,,,,ef605daf12a35786f71ef8363718c75c99a892cb,Line,
